Asset,STRIDE,STRIDE Category,Threat,Impact,Mitigation
kubernetes manifests,S,Spoofing,"- Malicious manifests introduced as if they came from trusted CI/CD pipeline
- Malicious service definitions impersonate legitimate EMS/PDC/SCADA-support services
- Bypass of CI/CD control by submitting unauthorized manifests directly to the Kubernetes API","- the manifest is still trusted, so the system is compromised in terms of scaling and configuration of the cluster 
- malicious work appears as legitimate EMS/PDC services
- fake services intercept or manipulate grid processing pipelines","- enforce all deployments with a single source of truth such as GitOps controllers
- sign all manifests and enforce signature verification at admission time
- use of cloud-native workload identity an bind ServiceAccounts to approved workloads strictly
- strong Kubernetes admission controllers to reject unsigned manifests and unknown service identities
- secure CI/CD authentication"
kubernetes manifests,T,Tampering,"- Modify container images, change startup arguments, inject backdoors, change number of replicas
- Modify security parameters such as capabilities restrictions, seccomp or RBAC 
- Injection of ConfigMaps or altered configuration parameters","- EMS and PDC could process altered grid data streams
- Analytics output unreliable
- Weaked security controls inside the cluser leading to an increased possibility of attack
- Communication paths could be slightly altered","- using digests instead of tags
- enforce usage of immutable deployments where possible
- OPA rules
- Network policy enforcement with default deny policies and explicit allow lists
- Pod security standards (PSS) to enforce restricted profile, avoid privilege escalation and read-only root filesystem"
kubernetes manifests,R,Repudiation,"- Lack of traceability of manifest changes
- Missing audit trails, absense of commits or overwritement of deployment
- Shared identity deployment, when multiple actors use the same service account or CI identity
- Missing logs correlation between actions and identities","-Not possible to determine who deployed or modified workload
- No linking between user and misbehavior
- forensics investigation difficult to perform
- critical infrastructure auditability requirements not realiable, leading to regulatory non compliance","- immutable audit logging and log storage with WORM* 
- signed workflows with all changes committed in Git, signed and reviewed
- no shared identities or admin accounts
- timestamp integrity assurance
- maintain a link between the commits and the cluster changes"
kubernetes manifests,I,Information Disclosure,"- Exposure of cluster topology
- Exposure of internal endpoints and services
- Secrets leakage
- Exposure of configurations and security policies
- Operational workflow leakage with processing pipelines, analytics flow and system dependencies","- Attacker will have a precise idea of how the system works and how it is organized, being able to build an accurate model of grid support architecture
- Facilitiating lateral movements and increasing the probability of successful compromisation of the operational system","- strict RBAC policy per namespace with separation of operational ans non-operational clusters
- external secrets management
- avoid exposing internal structure
- encryption of data in transit and authentication of the entities sending and receiving data
- avoid using sensitive labels or sensitive label sanitization"
kubernetes manifests,D,Denial of Service,x,x,x
kubernetes manifests,E,Elevation of Privilege,x,x,x
kubernetes secrets,S,Spoofing,"- Attacker uses stolen Kubernetes secrets to authenticate as legitimate services
- An attacker introduces malicious Secrets into the cluster that are accepted as valid credentials by workloads
- Stolen service account tokens are reused to authenticate as legitimate workloads
- Secrets from non-production environments are used to impersonate production services because of the weak separation","- Malicious services appear as trusted EMS/PDC components
- Unauthorized workloads integrate into grid data pipelines
- Attackers gain access to operational communication paths
- Lateral movement across SCADA-support and analytics systems
- Loss of trust in workload identity model across clusters","- workload identity management instead of static secrets
- short lived automatically rotated credentials
- mTLS for service communication
- identity binding with certidicate, not static secrets
- admission control validation, reject workloads using unapproved secrets, OPA"
kubernetes secrets,T,Tampering,"- modification of secrets or replacement of legitimate ones with attacker controlled ones
- secret replacement attacks
- etcd secret store manipulation
- corruption of backups or replica secrets for persistent attacks","- persistent compomise of the critical services
- inability to prove who accessed, some access could also remain undetected for a log time period
- pass the control of critical information to unlegitimate users while blocking out legitimate ones
- difficulty in unserstanding legitimate and malicious credentials over time","- encryption of secrets at rest, use of HSM key management
- external secre managers
- avoid direct kubernets storage for high-critically credentials
- sign secret payload or metadata and verify its integrity before using them
- log all modification to secrets
- regular integrity checks"
kubernetes secrets,R,Repudiation,"- No traceability of who accessed Kubernetes Secrets, no audit trails or unreliable ones
- Multiple services or users use the same secret, preventing attribution
- No reliable record of secret state at a given point in time, in particular considering backup phases
- Compromisation of audit trails","- Hard to take forensics analysis, so it is harder to solve smart grid issues and to understand whether the problem comes form an authorized or unauthorized user
- Delayed incident response for the loss or unreliability of logs","- Immutable audit logs, encrypted at rest
- correspondance between secrets and workload, user identity, service account identity
- hash chaining technique for audit trails integrity"
kubernetes secrets,I,Information Disclosure,"- Unatuthorized access to etcd store
- Misconfigured RBAC secrets 
- Pod escape enabling secret extraction
- Dumping environmental variables
- Backup content exposure
- Secret data exposed through backups or cluster snapshots","- Possibility to enter and have control of different parts of the system even if unauthorized 
- Lateral movements and persistent access
- Persistent unauthorized access to the infrastructure","- encryption of data in tranist and at rest
- no direct usage of secrets but only reference
- least privilege principle
- secret isolation based on the domain to limit risks
- no secret logging
- encrypted + acccess control backups"
kubernetes secrets,D,Denial of Service,x,x,x
kubernetes secrets,E,Elevation of Privilege,x,x,x
cloud control plane,S,Spoofing,"- Kubernetes admin credential impersonation obtained by different possible means e.g credential theft, malware, MFA bypass, session hijacking ecc.
- Control-plane component identity spoofing of kube-controller manager, kube-scheduler and kube-apiserver
- etcd certificate compromise
 - An attacker steals service account tokens used by SCADA, PDC, or supporting services and impersonates trusted workloads","- the attacker can create or delete workloads on the cluster possibly dirsuprupting communication or control services needed controlling the smart grid
 - the attacker can modify secrets and RBAC policies, unauthorized deployment of compromised PDC or SCADA services considered legitimate and trusted
- impersonation of a legitimate controller using its credentials, malicious creation of resources, scaling and manipulation of deployments, increasing the possibility of a DDoS on the services deployed with this technology
- malicious etcd peer joins the cluster, partecipating in consensus mechanisms and disclosing cluster state and manipulating stored data, so increasing the possibility an attacker completing a successful attack","- strong authenticatiion with MFA for admins and operators; hardware authentication mechanisms
- certificate rotation
- mutual authentication for all communication from and to the control plane (e.g. mTLS) 
- network separation, traffic filtering and monitoring mechanisms"
cloud control plane,T,Tampering,"- etcd direct state manipulation
- modification of scheduling mechanisms or configuration
- modification of specific deployment configuration, such as container image, enviroment variables and startup variables
- manipulation of secrets stored in etcd database (e.g. PMU credentials, EMS database, service mesh certificates, ...)
- tampering of admission policies","- alteration of configuration of containers, potential denail of service for PDC or SCADA control, giving the possibility to the attacker to act without being discovered 
- forcing scheduling of certain workload on specific nodes that could be compromised, increasing the attack surface or concentrating all the critical work on it
- execution of malicious code, manipulation of data to analyze producing incorrect results, possibility of data exfiltration. Reporting incorrect results and taking useless and misleading operational actions on the grid
- increased possibility of service impersonation and consequent disruption of trust chain
- security of the system is weakened without recognizing, anabling subdle attacks and access, this helps in other preparing more complex attacks to the grid","- strict isolation of etcd and no direct admin access without controlled procedures
- version-controlled infrastructure 
- strong policy enforcement 
- signed container images and trusted registry only
- external secret management and detection of unauthorized changes"
cloud control plane,R,Repudiation,"- Modification or deletion of audit trails such as Kubernetes audit logs, API server logs and etcd logs
 - Unattributable administrative actions, there is no possibility of determining who modified the deployment, chagned RBAC rules and accessed secret
- Service account withour traceability 
- Loss of correlation between: user identities, certificates, service accounts and administrative actions","- difficulty in root-cause analysis of incidents, unauthorized actions cannot be reconducted to the user doing it
- compliance of the critical systems and accountability are lost
- audit log analysis becomes untrustwothy and useless","- Kubernetes logging 
- fine-grained API audit policies
- immutable logging and append-only storage
- named admin accounts only
-no shared admin identities
- certificate lifecycle tracking
- trusted time source and consisstent timestamps"
cloud control plane,I,Information Disclosure,"- secret extraction from etcd
- obtained read access to API server or etcd
- extraction of controller configuration
- disclosure of backup data or etcd snapshots","- mass credential exposure, with potential critical consequence with the access to many different services and part of the system such as SCADA control service management or PDC manager
- exposure of critical aspect of the sytsem such as workload topology, operational services, network architecture and service communication services that can help the attacker in gaining infrastructure intelligence
- gain of interlligence to better target SCADA and EMS
- long term intelligence leakage","- encryption at rest for etcd and backups
- mutual TLS for important data communication
- RBAC policies and least privilege principle
- secret access monitoring
- external secret vault"
cloud control plane,D,Denial of Service,"- API server saturation
- etcd resource exhaustion due to excessive write operation on the system
- scheduler starvation by generating a huge number of pending pods
- many resource modification during operational work induces a long reconciliation time","- control plane responsiveness is delayed, PDC and SCADA recovery could be upated or recovered with delay or incorrectly
- delay in consensus mechanisms, cluster state becomes unreliable and reconciliation requires an increasing amount of time and modification
-  increased time needed for scheduling, resulting in a delay of critical services such as SCADA low level control or PDC analysis
 - delay in the deployment of service and resources lost in useless modification","- resource management with API rate limiting, resource quotas and admission controls                                                        - redundant etcd cluster 
- multi-node control plane (federation mechanism)
- performance monitoring
 etcd health monitoring
- API latency monitoring
- regular backup testing"
cloud control plane,E,Elevation of Privilege,"- service account to cluster admin elevation of priviledge obtained by exploiting excessive permission vulnerabilities 
- compromise of admission controllers, such that every request is managed by the attacker
- scheduler controlled by the attacker
-modification of RBAC policies and access configuration by modifying etcd stored configuration files","- cluser controlled by the attacker, who has the power to completely compromise SCADA control and PDC workloads, compromising low level control of the grid sanity
- potential distuption of the whole system
- sensitive workload controlled by the attacker and operated on compromised nodes
- persistent access to the system and governance over the services that this technology supports: SCADA control and PDC","- RBAC policies with strong role separation with periodic reviews and least priviledge principle
- disabling of automatic token mounting
- MFA + PAM and dedicated admin environment                                               
- continuous monitoring for privilege escalation detection and RBAC changes                                                             
- restriction of privileged container and host namespaces access"
runtime execution service,S,Spoofing,"- certificate, tokens and node credentials allow an attacker to impersonate a legitimate node
- malicious process impersonating a legitimate service ( PDC, SCADA control)
- compromised container accesses projected service-account tokens
- runtime container spoofing, the attacker impersonates containerd, kubelet, runtime plugins or node agents","-unauthorized nodes can join the cluster and malicious workload is considered trusted, fake PDC processes can be introduced
- unauthorized API access., false telemetry submission, lateral movement into OT applications 
- increased possibility of reconnaissance","- mTLS between kubelet and control plane
- automated certificate rotation and short-lived credentials
- workload identity federation
- secure node enrollment
- detection of node identities and certificate usage monitoring"
runtime execution service,T,Tampering,"- runtime container modification
- modification of filesystem
- socket data changed before being received  
- telemetry data modification before elaboration  
- modification of mounted secrets (certificates, API tokens, credentials, etc.)","- alteration of SCADA and PDC logic, compromisation of computational algorithms 
 - full nome compromised, malicious workload can be executed
- different execution parameters, policy compromisation
- elaboration of incorrect data leading to an incorrect state estimation
- authentication failure, service disruption","- read-only root filesystem and immutable containers
- minimized and signed images form trusted registry only
- runtime threat detection and container behavior monitoring
- workload isolation
- file integrity and runtime integrity monitoring"
runtime execution service,R,Repudiation,"- container manipulation without attribution of changes bypassing kubernetes audit mechanisms
- attacker log manipulation (container logs, runtime events, execution traces)
- compromised kubelet reports healthy status despite malicious modifications and changes","- loss of accountability
- loss of security compliance
- misleading identification of what device or user caused the failure
- modification and real state of the system remains undetected 
- increased delay in the time needed for understanding the root cause of incidents
- audit log analysis becomes useless because the logs are not trustworthy","- audit logs for all the components (e.g. kubernetes, runtime and nodes)
- centralized logging system and remote log forwarding
- signed deployments and traceable GitOps pipeline
- consistent timestamp information from trusted sources"
runtime execution service,I,Information Disclosure,"- extraction of mounted secrets (API credentials, service account tokens, credentials)
 - operational memory scraping for all workloads (SCADA contoller, PDC)
- container cache disclosure 
- runtime escape exposes many important info about other containers, host filesystem and metadata","- service impersonation, credentials are used to compromise other services
- leakage of operational intelligence, grid-state reconstruction, critical infrastructure intelligence gathering
 - possibility to use reverse engineering to understand algorithms used in the smart grid, intellectual property theft
- potential compormise of other services on the same machine increasing the probability of increasing the damage area","- secure secret management e.g. external secrets vaults, dynamic credentials and secret rotation
- encryption at rest and in transit
- runtime isolation with namespace and sandbox
- RBAC and least privilege principle
- DLP controls and secret access and modification monitoring"
runtime execution service,D,Denial of Service,"- exhaustion of target machine resources in terms of CPU, memory or scheduling 
- container termination attack disrupting SCADA and PDC workloads and analysis
- certificate login failure overwhelms the authentication component, kubelet and identity providers
- storage and volume exhaustion
- frenquent systems reboot of critical services leading to a loss of observability and control of the grid","- processing latency of PDC and SCADA increases such that the attacker can have a larger impact without being discovered
 - the killed container service does not work until the system realises that it is missing, service is delayed also rebooting requires time. It can be part of a larger coordinated attack
- nodes are disconnected from the service, resilience is reduced","- resource quotas, limits and priority classes
- redundant worker nodes and multi-node deployments
- runtime protection with PID limit and container count limit
- runtime health monitorning
- automated restart policies"
runtime execution service,E,Elevation of Privilege,"- container escape 
- Kubelet credential abuse
- containers running in priviledge mode exploited to grant access on the host
- runtime vulnerability expolitation","- permissions granted from the container to the host, that could impact all the services running on the same cluster (e.g. data processing and analysis in PDC)
 - workload manipulation resulting in algorithm compromisation, this could cause having too many false alarms or false positives","- non-toot containers and minimal set of linux capabilities for every user
- runtime isolation with Seccomp, SELinux and/or AppArmor
- deny privileged mode by default
- hardened containerd configuration and secure kubelet configuration
- vulnerability management with image scanning, instant patching and node hardening
- runtime threat detection and privileded account monitoring"
federation service,S,Spoofing,"-malicious federation member impersonates a legitimate High-Level PDC or a trusted EMS by using spoofed, stolen or crafted certificate valid for joining the network
- impersonating the host cluster (coordinator) by convincing all the members that it is the legitimate one by spoofing its token
- attacker impersonate federation service responsible for state synchronization, resource propagation and operational data exchange
- attavker impersonates a backup EMS or high-level PDC","- attackers impersonating high-level PDC can introduce false data and spread false workload to other high-level PDC or EMS
- by impersonating the host it is possible to deactivate all the workload an thus avoid the computation of all high-level PDC and EMS. other options involve introducing malicous containers for example exfiltrating alla data or useful to mascherate attacks to steal energy","- strong identity mangement with mechanisms such as mLTS , PKI and hardware protected keys
- federation trust controls with explcit whitelists, certificate pinning
- automated certificate rotation and HMS certidicate storage
- certificate anomaly detection and duplicate federation identities"
federation service,T,Tampering,"- An attacker with access to the Host cluster modifies the configuration or specific resource specs, causing unauthorized state changes across the entire fleet 
- malicious work injection flows by modifying critical CRDs 
- modification of failover and redundancy information  
- creation of persistent backdoors in the high-level PDC and EMS to read all information
- introduce malicuous containers and computations 
- modification of certificates, trust stores, auth tokens and federation secrets","- persistent possibility to access the system and information of high-level PDC and EMS using backdoors
- malicious workload executed on nodes, less resources to main task of the devices, resulting in delays in computation ans system observability
 - by changing alarm threshold, important alarms could be missed, enabling energy stealing or smart grid disrutpion","- version controlled-policies
- signed federation and workloads manifests
- policy enforcemnet before propagation 
- multi-party approval for federation wide changes
- drift and unauthorized configuration change detection
- network segmentation"
federation service,R,Repudiation,"- lack of centralized audit logs
- lack of correspondance between credentials and actual devices (credential spoofing)
- untracked federation configuration channels
- Orphaned Actions by compromised controllers (ghost commands)
- unrealiability of federated audit logs or incoherent federated cluster logs
- impossibility to reconduce configuration changes or incorrect data transmission to a specific federated cluster","- loss of accountability, no guarantee in communication and data transmission source as well as modification. harder to find problems and incidents in the smart grid 
- execution of useless tasks to delay the core functions of EMS, high-level PDC without clear tracking of it
- loss of observability for many high-level PDC so for many regions, the attacker can compromise a wider-area of the grid without being detected
- delayed response to incidents in the system and harder to find root-cause of incidents or compromised devices","- centralized logging system
- correlation of federated cluster logs
- append-only logs
- strong certificate management, with rotation and hardware device authentication
- reliable time sourve usage"
federation service,I,Information Disclosure,"- during synchoronization process there is the possibility to share sentitive data with amon host and members, for example secrets or credentials
- misconfiguration of RBAC policy letting clusters read sensitive information
- federation status disclosing important topology information and weak points","- possibility of lateral movements from one high-level PDC to another or to other components of the system if credentials are disclosed                                                           - information about federation, weak points and problems of the smart grid, facilitating attacks                                                                     - full compromise of federation system","- secure secret management e.g. external secrets vaults, dynamic credentials and secret rotation
- encryption at rest and in transit
- runtime isolation with namespace and sandbox
- RBAC and least privilege principle
- DLP controls and secret access and modification monitoring
- federated log sychronization checks"
federation service,D,Denial of Service,"- flooding of API server from compromised members to exceed computational resources                                            - trigger too often the reconciliation loop
- network communication disruption between host and members
- malformed objects or malwares consuming computational power","- potential block of the high-level PDC and EMS services, so loss of osbervability of the grid, culminating in the inability to assess if certain operations are needed and less resilience to attack because of inability to retrieve them
- loss of consistency among the high-level PDC and EMS requiring further aligment requiring time","- federated specific RBAC policies with applciation of least privilege principle
- TLS encryption for data in transit
- encryption of data at rest
- synchronize only required information 
- data access monitoring and DLP controls"
federation service,E,Elevation of Privilege,"- compromise of the federation service account by using cluster-admin permissions
- misconfiguration of RBAC policies for cluster
- exploitation of software vulnerabilities grantic access to the control plane of the federation members
- entering using spoofed secrets or credentials/tokens","- admin access to the federated control plane, with thepossibility to send malicious workload to other members or modify elaborated data                                           - creation of priviledged workloads consuming resources to computation available and delaying the observability of the system and the consequent solving of incidents                                                                                   - control of the EMS and high-level PDC is given to a unauthorized user (cia compromised)","- communication rate limiting, sychronization quotas
- resoruce governance for CPU and memory
- high availability and redundant controls
- latency monitoring
- federated health monitoring
- isolation of failures and compromised clusters"
IAM services,S,Spoofing,"- admin impersonation using stolen/spoofed/crafted credentials or tokens 
- spoofing the admin role for policy engine, the attacker can change the permissions for some groups or users and also change the algorithms for checking access grant at all the levels
- service account impersonation (e.g. federation service, kubbernetes workload, SCADA, PDC and EMS services
- identity provider spoofing","- attacker can act as a legitimate user on the system because of the mismatch between credentials and identity. it can compromise the system at different levels based on the target system (EMS and SCADA are the most critical for their operational control ability) 
- being able to modify the permissions of all the groups and the policies can create cascade attacks on the smart grid and lose control of it completely; changing the underlying algorithm for accessing the system could facilitate impersonation of devices or user","- MFA for all privileged users and phising resistent authentication
- PKI identities and mutual TLS
- crential protection with rotation and secure token handling
- short-lived tokens
- detection of anomalous logins of change in configuration
- privileged account monitoring"
IAM services,T,Tampering,"- unauthorized modification of RBAC policies, role definition, permissions assignment and access rules
- role assignment tampering in terms of user-to-role mapping, group membership and service-acocunt permissions
- authentication mechanisms manipulation in terms of trust relationships, token validation and authentication workflows
- identity store tampering
- log tampering
- federation trust configuration tampering","- compromisation of accessibility system, unlegitimate user can log in the entire grid
- compromisation of the logic for performing checks can affect the security by introducing in the system unlegitimate users without finding it out","- version controlled policies
- approval for critical IAM configuration changes
- integrity controls with cryptographic signing of policies
- configuration integrity monitoring
- strong separation of duties
- monitoring of RBAC modifications and unusal role assignment"
IAM services,R,Repudiation,"- user performs a malicious action and denies it
- admin assigns a sensitive role and denies performing the change- deletion of logs of actions performed by user and admin, lack of proper protection of cryptographic methods","- lack of accountability for the changes to configurations, accesses and rules that potentially leads to strong cyber attacks
- increased difficulty in solving incidents because of the lack of audits
- inability to easily detect credentials spoofing and so block unlegitimate accesses 
- lockout of legitimate users an service accounts with the potential of disrupting the supported systems functionalities, so delaying incident detection and weaknesses of the grid","- centralized, immutable and append-only logging systemdifferent service if federated with particular attention to privileged activities
- no shared accounts
- privileged accounts monitoring
- role assignment tracking"
IAM services,I,Information Disclosure,"- unauthorized access to the policy structure (e.g. roles, groups and associated permissions) and leaking sensitive user-to-role-to-permission mappings
- disclosure of identitiy, authorization and authentication check algorithms 
- discosure of information about audit logs","- information useful for the attacker to perform successful attacks or spoofing 
- possibility for the attacker to understand sensitive information about devices, users or admin
- understanding paths for performing elevation of priviledge and cascading attacks","- least privilege principle
- strong encryption of identity repositories and logs
- limit exposure of internal structures of authentication machines and logical flow
- detection of abnormal reads
- DLP controls"
IAM services,D,Denial of Service,"- flooding the policy engine with authorization requests
- locking out legitimate users by deleting core roles/mappings
- providing incorrect format for data requested such that the system is blocked
- failure of one single microservice for authentication leading to the complete disruption of authentication","- disrupting the policy engine and access control mechanism can prevent legitimate users and devices to log on the system, potentally delaying or blocking important alarm checks needing human intervention or processes needing new device log in. This attack can be part of a more complext strategy to take control of the whole smart grid.","- redundant IAM services and redundant identity providers
- rate limiting, API quotas, sessions and requests limiting
- authenticaion latency monitoring
- emergency access procedures"
IAM services,E,Elevation of Privilege,"- vulnerabilities in the software underlying the checks                                   - misconfuration of policies, groups or permissions on the machines (e.g. circular role dependencies)
- privilege escalation through role chaining
- unauthroized role assignement",- being able to perform an elevation of priviledge on the access control architecture can enable a normal user to perforrn dangerous actions such as modifying permissions and algorithms leading to the attacker controlling this part of the system and so enabling other dangerous actions on the system.,"- role separation with minimal permission for each role
- periodic RBAC roles and policies review
- credentials rotation
- continuos monitoring of the system
- policy validation with automated RBAC analysis and detection of incorrect permissions"
